source,NR,WR,SR,ER,NER,All India,date
Wind Gen(MU),6.0,37.0,64.0,0.0,0.0,107,2013-08-14
Total,749.0,672.0,646.0,315.0,35.0,2417,2013-08-15
Hydro,289.0,104.0,132.0,74.0,19.0,617,2013-08-15
Wind Gen(MU),3.0,34.0,48.0,0.0,0.0,84,2013-08-15
Hydro,313.0,108.0,142.0,76.0,18.0,657,2013-08-16
Total,768.0,706.0,652.0,318.0,35.0,2478,2013-08-16
Wind Gen(MU),4.0,23.0,52.0,0.0,0.0,79,2013-08-16
Total,758.0,728.0,647.0,314.0,36.0,2483,2013-08-17
Wind Gen(MU),9.0,31.0,64.0,0.0,0.0,104,2013-08-17
Hydro,298.0,88.0,164.0,74.0,19.0,642,2013-08-17
Wind Gen(MU),11.0,43.0,61.0,0.0,0.0,115,2013-08-18
Hydro,308.0,112.0,157.0,73.0,19.0,669,2013-08-18
Total,763.0,703.0,635.0,306.0,35.0,2441,2013-08-18
Wind Gen(MU),17.0,59.0,82.0,0.0,0.0,158,2013-08-19
Hydro,313.0,110.0,159.0,73.0,18.0,672,2013-08-19
Total,791.0,725.0,673.0,309.0,37.0,2533,2013-08-19
Wind Gen(MU),13.0,72.0,79.0,0.0,0.0,164,2013-08-20
Hydro,314.0,98.0,168.0,67.0,17.0,664,2013-08-20
Total,784.0,686.0,692.0,288.0,37.0,2487,2013-08-20
Total,803.0,707.0,706.0,270.0,35.0,2521,2013-08-21
Hydro,312.0,95.0,161.0,69.0,15.0,651,2013-08-21
Wind Gen(MU),15.0,66.0,78.0,0.0,0.0,159,2013-08-21
Total,824.0,725.0,716.0,295.0,35.0,2594,2013-08-22
Wind Gen(MU),12.0,53.0,82.0,0.0,0.0,147,2013-08-22
Hydro,319.0,91.0,167.0,81.0,15.0,672,2013-08-22
Hydro,316.0,92.0,177.0,87.0,15.0,688,2013-08-23
Total,853.0,736.0,730.0,315.0,36.0,2669,2013-08-23
Wind Gen(MU),7.0,57.0,85.0,0.0,0.0,148,2013-08-23
Hydro,314.0,87.0,177.0,83.0,16.0,676,2013-08-24
Total,879.0,736.0,736.0,311.0,37.0,2698,2013-08-24
Wind Gen(MU),4.0,47.0,86.0,0.0,0.0,137,2013-08-24
Total,885.0,721.0,720.0,301.0,35.0,2662,2013-08-25
Hydro,297.0,85.0,158.0,84.0,16.0,640,2013-08-25
Wind Gen(MU),6.0,46.0,81.0,0.0,0.0,133,2013-08-25
Total,925.0,754.0,742.0,309.0,33.0,2763,2013-08-26
Hydro,314.0,97.0,161.0,84.0,15.0,671,2013-08-26
Wind Gen(MU),20.0,43.0,71.0,0.0,0.0,133,2013-08-26
Wind Gen(MU),24.0,35.0,48.0,0.0,0.0,107,2013-08-27
Hydro,314.0,123.0,177.0,80.0,19.0,712,2013-08-27
Total,944.0,764.0,738.0,314.0,33.0,2793,2013-08-27
Hydro,316.0,114.0,161.0,88.0,18.0,697,2013-08-30
Total,908.0,784.0,729.0,329.0,36.0,2786,2013-08-30
Wind Gen(MU),14.0,22.0,14.0,0.0,0.0,51,2013-08-30
Total,913.0,803.0,718.0,317.0,36.0,2788,2013-08-31
Wind Gen(MU),17.0,17.0,8.0,0.0,0.0,42,2013-08-31
Hydro,312.0,119.0,150.0,71.0,18.0,668,2013-08-31
Hydro,301.0,115.0,115.0,78.0,17.0,626,2013-09-01
Total,898.0,794.0,690.0,298.0,36.0,2715,2013-09-01
Wind Gen(MU),15.0,12.0,10.0,0.0,0.0,37,2013-09-01
Wind Gen(MU),19.0,17.0,21.0,0.0,0.0,57,2013-09-02
Hydro,306.0,126.0,127.0,87.0,18.0,663,2013-09-02
Total,937.0,832.0,701.0,304.0,34.0,2807,2013-09-02
Hydro,295.0,130.0,112.0,77.0,18.0,632,2013-09-03
Total,940.0,852.0,705.0,307.0,35.0,2839,2013-09-03
Wind Gen(MU),21.0,26.0,41.0,0.0,0.0,88,2013-09-03
Wind Gen(MU),19.0,30.0,42.0,0.0,0.0,92,2013-09-04
Hydro,285.0,125.0,114.0,84.0,20.0,628,2013-09-04
Total,943.0,861.0,705.0,312.0,35.0,2855,2013-09-04
Wind Gen(MU),25.0,37.0,55.0,0.0,0.0,116,2013-09-05
Total,945.0,859.0,728.0,327.0,35.0,2893,2013-09-05
Hydro,282.0,114.0,108.0,87.0,22.0,613,2013-09-05
Wind Gen(MU),20.0,29.0,36.0,0.0,0.0,85,2013-09-06
Total,943.0,860.0,725.0,325.0,35.0,2888,2013-09-06
Hydro,276.0,109.0,118.0,85.0,23.0,610,2013-09-06
Total,933.0,867.0,696.0,320.0,35.0,2850,2013-09-07
Wind Gen(MU),10.0,18.0,33.0,0.0,0.0,61,2013-09-07
Hydro,263.0,125.0,101.0,91.0,23.0,604,2013-09-07
Wind Gen(MU),8.0,9.0,16.0,0.0,0.0,33,2013-09-08
Hydro,241.0,108.0,79.0,88.0,19.0,534,2013-09-08
Total,928.0,856.0,646.0,313.0,34.0,2777,2013-09-08
Wind Gen(MU),5.0,7.0,29.0,0.0,0.0,41,2013-09-09
Hydro,244.0,83.0,76.0,79.0,18.0,499,2013-09-09
Total,930.0,849.0,628.0,315.0,34.0,2756,2013-09-09
Hydro,243.0,109.0,82.0,82.0,17.0,534,2013-09-10
Wind Gen(MU),7.0,10.0,37.0,0.0,0.0,54,2013-09-10
Total,946.0,873.0,659.0,318.0,36.0,2832,2013-09-10
Hydro,249.0,93.0,96.0,78.0,17.0,532,2013-09-11
Wind Gen(MU),7.0,10.0,20.0,0.0,0.0,37,2013-09-11
Total,956.0,875.0,658.0,319.0,36.0,2844,2013-09-11
Wind Gen(MU),4.0,6.0,21.0,0.0,0.0,31,2013-09-12
Hydro,249.0,101.0,107.0,76.0,20.0,551,2013-09-12
Total,969.0,869.0,662.0,328.0,36.0,2864,2013-09-12
Hydro,246.0,90.0,105.0,71.0,16.0,528,2013-09-13
Total,962.0,870.0,663.0,313.0,36.0,2844,2013-09-13
Wind Gen(MU),4.0,9.0,20.0,0.0,0.0,32,2013-09-13
Hydro,221.0,61.0,111.0,64.0,15.0,473,2013-09-15
Wind Gen(MU),10.0,18.0,20.0,0.0,0.0,48,2013-09-15
Total,912.0,837.0,640.0,300.0,35.0,2724,2013-09-15
Hydro,220.0,62.0,145.0,71.0,16.0,514,2013-09-16
Total,849.0,839.0,660.0,319.0,37.0,2704,2013-09-16
Wind Gen(MU),9.0,17.0,34.0,0.0,0.0,60,2013-09-16
Total,905.0,838.0,659.0,303.0,37.0,2742,2013-09-17
Hydro,209.0,63.0,141.0,76.0,18.0,507,2013-09-17
Wind Gen(MU),3.0,12.0,38.0,0.0,0.0,53,2013-09-17
Total,939.0,810.0,663.0,308.0,37.0,2756,2013-09-18
Hydro,202.0,57.0,149.0,75.0,17.0,499,2013-09-18
Wind Gen(MU),5.0,14.0,43.0,0.0,0.0,61,2013-09-18
Wind Gen(MU),2.0,23.0,48.0,0.0,0.0,72,2013-09-19
Total,948.0,832.0,673.0,305.0,37.0,2795,2013-09-19
Hydro,201.0,46.0,156.0,69.0,17.0,489,2013-09-19
Wind Gen(MU),9.0,65.0,55.0,0.0,0.0,129,2013-09-21
Total,868.0,795.0,661.0,321.0,36.0,2681,2013-09-21
Hydro,183.0,46.0,165.0,60.0,15.0,469,2013-09-21
Hydro,187.0,70.0,160.0,63.0,17.0,498,2013-09-22
Wind Gen(MU),6.0,64.0,60.0,0.0,0.0,130,2013-09-22
Total,834.0,746.0,651.0,317.0,38.0,2586,2013-09-22
Hydro,217.0,90.0,165.0,72.0,15.0,558,2013-09-24
Wind Gen(MU),5.0,37.0,73.0,0.0,0.0,115,2013-09-24
Total,869.0,740.0,728.0,342.0,37.0,2716,2013-09-24
Total,852.0,721.0,739.0,331.0,33.0,2675,2013-09-25
Hydro,217.0,92.0,166.0,72.0,15.0,562,2013-09-25
Wind Gen(MU),9.0,32.0,60.0,0.0,0.0,101,2013-09-25
Total,862.0,722.0,753.0,333.0,34.0,2704,2013-09-26
Hydro,208.0,83.0,159.0,72.0,17.0,538,2013-09-26
Wind Gen(MU),9.0,35.0,52.0,0.0,0.0,95,2013-09-26
Hydro,199.0,88.0,146.0,64.0,19.0,516,2013-09-27
Total,872.0,734.0,757.0,320.0,35.0,2719,2013-09-27
Wind Gen(MU),11.0,37.0,51.0,0.0,0.0,99,2013-09-27
Wind Gen(MU),13.0,36.0,63.0,0.0,0.0,112,2013-09-28
Hydro,265.0,87.0,135.0,54.0,17.0,558,2013-09-28
Total,858.0,741.0,757.0,317.0,33.0,2706,2013-09-28
Hydro,201.0,78.0,121.0,48.0,17.0,466,2013-09-29
Wind Gen(MU),10.0,26.0,57.0,0.0,0.0,94,2013-09-29
Total,810.0,733.0,721.0,290.0,33.0,2587,2013-09-29
Wind Gen(MU),7.0,29.0,59.0,0.0,0.0,94,2013-09-30
Hydro,195.0,91.0,126.0,46.0,19.0,477,2013-09-30
Total,817.0,764.0,750.0,296.0,34.0,2661,2013-09-30
Total,815.0,766.0,758.0,301.0,34.0,2674,2013-10-01
Hydro,193.0,88.0,126.0,54.0,16.0,475,2013-10-01
Wind Gen(MU),4.0,23.0,48.0,0.0,0.0,75,2013-10-01
Total,793.0,748.0,712.0,303.0,35.0,2590,2013-10-02
Hydro,191.0,74.0,111.0,59.0,14.0,449,2013-10-02
Wind Gen(MU),4.0,13.0,37.0,0.0,0.0,54,2013-10-02
Wind Gen(MU),3.0,13.0,57.0,0.0,0.0,72,2013-10-03
Hydro,190.0,75.0,122.0,60.0,13.0,460,2013-10-03
Total,810.0,755.0,715.0,312.0,35.0,2627,2013-10-03
Wind Gen(MU),2.0,20.0,71.0,0.0,0.0,94,2013-10-04
Total,777.0,747.0,720.0,314.0,35.0,2594,2013-10-04
Hydro,184.0,76.0,132.0,68.0,14.0,474,2013-10-04
Hydro,185.0,90.0,143.0,74.0,16.0,507,2013-10-05
Wind Gen(MU),2.0,15.0,65.0,0.0,0.0,82,2013-10-05
Total,774.0,763.0,713.0,312.0,33.0,2594,2013-10-05
Hydro,181.0,95.0,124.0,75.0,20.0,496,2013-10-06
Total,777.0,761.0,678.0,305.0,30.0,2552,2013-10-06
Wind Gen(MU),3.0,16.0,44.0,0.0,0.0,63,2013-10-06
Wind Gen(MU),2.0,8.0,45.0,0.0,0.0,55,2013-10-07
Hydro,180.0,101.0,130.0,74.0,22.0,507,2013-10-07
Total,807.0,789.0,698.0,300.0,32.0,2626,2013-10-07
Hydro,179.0,102.0,133.0,66.0,19.0,500,2013-10-08
Total,833.0,783.0,690.0,300.0,33.0,2640,2013-10-08
Wind Gen(MU),3.0,12.0,39.0,0.0,0.0,53,2013-10-08
Wind Gen(MU),4.0,10.0,38.0,0.0,0.0,51,2013-10-09
Hydro,177.0,102.0,117.0,63.0,19.0,478,2013-10-09
Total,839.0,773.0,669.0,309.0,34.0,2624,2013-10-09
Total,849.0,768.0,695.0,316.0,36.0,2663,2013-10-10
Wind Gen(MU),3.0,11.0,32.0,0.0,0.0,46,2013-10-10
Hydro,176.0,103.0,130.0,66.0,19.0,494,2013-10-10
Wind Gen(MU),2.0,13.0,51.0,0.0,0.0,66,2013-10-11
Hydro,175.0,92.0,130.0,67.0,17.0,481,2013-10-11
Total,755.0,763.0,711.0,313.0,36.0,2578,2013-10-11
Total,736.0,753.0,710.0,274.0,35.0,2508,2013-10-12
Hydro,179.0,88.0,106.0,52.0,16.0,441,2013-10-12
Wind Gen(MU),6.0,10.0,57.0,0.0,0.0,74,2013-10-12
Wind Gen(MU),2.0,8.0,41.0,0.0,0.0,51,2013-10-13
Total,691.0,691.0,664.0,173.0,33.0,2251,2013-10-13
Hydro,165.0,68.0,103.0,48.0,13.0,396,2013-10-13
Wind Gen(MU),5.0,9.0,46.0,0.0,0.0,59,2013-10-14
Hydro,164.0,93.0,118.0,44.0,15.0,434,2013-10-14
Total,705.0,734.0,695.0,179.0,32.0,2346,2013-10-14
Wind Gen(MU),6.0,6.0,16.0,0.0,0.0,29,2013-10-16
Total,757.0,788.0,704.0,271.0,35.0,2554,2013-10-16
Hydro,145.0,109.0,119.0,78.0,13.0,464,2013-10-16
Wind Gen(MU),7.0,6.0,6.0,0.0,0.0,19,2013-10-17
Hydro,144.0,94.0,115.0,73.0,14.0,440,2013-10-17
Total,751.0,798.0,703.0,288.0,36.0,2576,2013-10-17
Hydro,142.0,78.0,120.0,65.0,16.0,421,2013-10-18
Total,770.0,796.0,714.0,299.0,37.0,2615,2013-10-18
Wind Gen(MU),5.0,9.0,8.0,0.0,0.0,22,2013-10-18
Total,748.0,810.0,705.0,302.0,36.0,2601,2013-10-19
Hydro,133.0,82.0,116.0,71.0,14.0,416,2013-10-19
Wind Gen(MU),2.0,6.0,11.0,0.0,0.0,18,2013-10-19
Total,719.0,810.0,669.0,295.0,34.0,2528,2013-10-20
Wind Gen(MU),2.0,6.0,7.0,0.0,0.0,15,2013-10-20
Hydro,133.0,69.0,89.0,65.0,15.0,371,2013-10-20
Wind Gen(MU),2.0,7.0,12.0,0.0,0.0,22,2013-10-21
Hydro,132.0,64.0,99.0,61.0,14.0,370,2013-10-21
Total,731.0,833.0,679.0,297.0,32.0,2572,2013-10-21
Total,738.0,829.0,668.0,296.0,33.0,2564,2013-10-22
Wind Gen(MU),4.0,12.0,16.0,0.0,0.0,32,2013-10-22
Hydro,128.0,52.0,79.0,58.0,12.0,329,2013-10-22
Total,729.0,827.0,653.0,287.0,34.0,2530,2013-10-23
Hydro,126.0,58.0,70.0,55.0,13.0,322,2013-10-23
Wind Gen(MU),5.0,19.0,18.0,0.0,0.0,42,2013-10-23
Wind Gen(MU),7.0,19.0,20.0,0.0,0.0,45,2013-10-24
Hydro,186.0,55.0,71.0,56.0,14.0,382,2013-10-24
Total,719.0,828.0,639.0,285.0,35.0,2505,2013-10-24
Total,727.0,837.0,636.0,297.0,34.0,2531,2013-10-25
Hydro,125.0,57.0,89.0,81.0,12.0,363,2013-10-25
Wind Gen(MU),6.0,16.0,29.0,0.0,0.0,51,2013-10-25
Wind Gen(MU),4.0,11.0,33.0,0.0,0.0,49,2013-10-26
Total,731.0,842.0,623.0,278.0,32.0,2507,2013-10-26
Hydro,123.0,55.0,97.0,59.0,13.0,348,2013-10-26
Total,705.0,827.0,608.0,276.0,33.0,2448,2013-10-27
Hydro,121.0,72.0,90.0,67.0,13.0,363,2013-10-27
Wind Gen(MU),2.0,5.0,34.0,0.0,0.0,41,2013-10-27
Hydro,123.0,84.0,128.0,74.0,12.0,421,2013-10-28
Wind Gen(MU),3.0,5.0,29.0,0.0,0.0,37,2013-10-28
Total,711.0,859.0,651.0,281.0,31.0,2533,2013-10-28
Hydro,120.0,68.0,124.0,67.0,14.0,393,2013-10-29
Total,719.0,869.0,659.0,288.0,31.0,2566,2013-10-29
Wind Gen(MU),15.0,5.0,8.0,0.0,0.0,28,2013-10-29
Total,718.0,868.0,673.0,293.0,32.0,2584,2013-10-30
Hydro,118.0,64.0,108.0,64.0,12.0,367,2013-10-30
Wind Gen(MU),8.0,5.0,8.0,0.0,0.0,21,2013-10-30
Hydro,117.0,68.0,108.0,59.0,12.0,364,2013-10-31
Total,710.0,883.0,695.0,286.0,32.0,2606,2013-10-31
Wind Gen(MU),6.0,5.0,6.0,0.0,0.0,18,2013-10-31
Total,734.0,869.0,674.0,284.0,33.0,2594,2013-11-01
Wind Gen(MU),5.0,5.0,10.0,0.0,0.0,20,2013-11-01
Hydro,120.0,62.0,95.0,56.0,12.0,346,2013-11-01
Wind Gen(MU),4.0,6.0,11.0,0.0,0.0,21,2013-11-02
Hydro,116.0,41.0,74.0,63.0,13.0,306,2013-11-02
Total,744.0,852.0,634.0,287.0,34.0,2551,2013-11-02
Hydro,113.0,27.0,69.0,52.0,15.0,277,2013-11-03
Total,698.0,781.0,595.0,282.0,32.0,2388,2013-11-03
Wind Gen(MU),4.0,9.0,18.0,0.0,0.0,30,2013-11-03
Total,673.0,744.0,624.0,287.0,32.0,2359,2013-11-04
Hydro,118.0,32.0,68.0,51.0,14.0,283,2013-11-04
Wind Gen(MU),3.0,8.0,18.0,0.0,0.0,29,2013-11-04
Wind Gen(MU),3.0,10.0,23.0,0.0,0.0,36,2013-11-05
Total,679.0,768.0,656.0,286.0,32.0,2420,2013-11-05
Hydro,119.0,52.0,83.0,46.0,11.0,310,2013-11-05
Wind Gen(MU),8.0,6.0,21.0,0.0,0.0,35,2013-11-06
Total,699.0,803.0,676.0,285.0,33.0,2496,2013-11-06
Hydro,119.0,55.0,103.0,43.0,13.0,333,2013-11-06
Total,679.0,829.0,687.0,290.0,33.0,2518,2013-11-07
Hydro,114.0,52.0,103.0,40.0,12.0,321,2013-11-07
Wind Gen(MU),10.0,7.0,22.0,0.0,0.0,38,2013-11-07
Total,679.0,834.0,698.0,283.0,34.0,2528,2013-11-08
Hydro,116.0,51.0,104.0,40.0,13.0,324,2013-11-08
Wind Gen(MU),12.0,16.0,15.0,0.0,0.0,43,2013-11-08
Hydro,116.0,56.0,107.0,39.0,11.0,329,2013-11-09
Total,682.0,838.0,696.0,283.0,32.0,2530,2013-11-09
Wind Gen(MU),10.0,32.0,21.0,0.0,0.0,62,2013-11-09
Total,671.0,827.0,681.0,279.0,32.0,2490,2013-11-10
Wind Gen(MU),8.0,32.0,18.0,0.0,0.0,58,2013-11-10
Hydro,116.0,63.0,100.0,36.0,12.0,327,2013-11-10
Total,688.0,859.0,692.0,276.0,31.0,2546,2013-11-11
Wind Gen(MU),3.0,19.0,16.0,0.0,0.0,39,2013-11-11
Hydro,117.0,61.0,111.0,37.0,11.0,337,2013-11-11
Wind Gen(MU),3.0,6.0,9.0,0.0,0.0,19,2013-11-12
Hydro,116.0,56.0,107.0,44.0,11.0,335,2013-11-12
Total,710.0,872.0,704.0,275.0,31.0,2592,2013-11-12
Hydro,113.0,70.0,106.0,45.0,11.0,345,2013-11-13
Total,715.0,874.0,694.0,280.0,32.0,2595,2013-11-13
Wind Gen(MU),4.0,6.0,8.0,0.0,0.0,18,2013-11-13
Hydro,114.0,81.0,107.0,38.0,10.0,351,2013-11-14
Wind Gen(MU),7.0,10.0,8.0,0.0,0.0,26,2013-11-14
Total,705.0,877.0,687.0,277.0,32.0,2578,2013-11-14
Wind Gen(MU),8.0,26.0,14.0,0.0,0.0,48,2013-11-15
Total,704.0,870.0,689.0,274.0,31.0,2568,2013-11-15
Hydro,110.0,61.0,92.0,40.0,10.0,312,2013-11-15
Total,715.0,860.0,666.0,281.0,33.0,2554,2013-11-16
Wind Gen(MU),6.0,28.0,15.0,0.0,0.0,49,2013-11-16
Hydro,109.0,63.0,84.0,35.0,11.0,303,2013-11-16
Total,693.0,841.0,621.0,276.0,32.0,2462,2013-11-17
Hydro,108.0,54.0,63.0,27.0,9.0,262,2013-11-17
Wind Gen(MU),6.0,33.0,19.0,0.0,0.0,58,2013-11-17
Hydro,108.0,73.0,79.0,29.0,9.0,297,2013-11-18
Total,719.0,863.0,647.0,284.0,30.0,2544,2013-11-18
Wind Gen(MU),4.0,30.0,15.0,0.0,0.0,49,2013-11-18
Wind Gen(MU),1.0,13.0,9.0,0.0,0.0,23,2013-11-19
Total,725.0,885.0,663.0,290.0,32.0,2594,2013-11-19
Hydro,108.0,81.0,92.0,30.0,9.0,320,2013-11-19
Wind Gen(MU),1.0,6.0,8.0,0.0,0.0,15,2013-11-20
Hydro,109.0,72.0,96.0,37.0,9.0,324,2013-11-20
Total,720.0,891.0,679.0,292.0,32.0,2613,2013-11-20
Total,729.0,894.0,672.0,287.0,31.0,2614,2013-11-21
Hydro,108.0,80.0,96.0,36.0,9.0,329,2013-11-21
Wind Gen(MU),6.0,4.0,5.0,0.0,0.0,15,2013-11-21
Wind Gen(MU),2.0,10.0,4.0,0.0,0.0,15,2013-11-22
Total,733.0,891.0,672.0,280.0,32.0,2609,2013-11-22
Hydro,109.0,83.0,93.0,29.0,10.0,324,2013-11-22
Wind Gen(MU),5.0,13.0,5.0,0.0,0.0,22,2013-11-23
Total,725.0,902.0,665.0,289.0,32.0,2612,2013-11-23
Hydro,105.0,82.0,89.0,31.0,10.0,317,2013-11-23
Wind Gen(MU),3.0,7.0,6.0,0.0,0.0,16,2013-11-24
Total,706.0,891.0,629.0,277.0,31.0,2534,2013-11-24
Hydro,106.0,55.0,68.0,23.0,9.0,261,2013-11-24
Total,711.0,903.0,660.0,270.0,32.0,2575,2013-11-25
Hydro,106.0,68.0,84.0,27.0,10.0,294,2013-11-25
Wind Gen(MU),3.0,8.0,5.0,0.0,0.0,16,2013-11-25
Wind Gen(MU),1.0,7.0,6.0,0.0,0.0,14,2013-11-26
Hydro,106.0,77.0,89.0,33.0,10.0,315,2013-11-26
Total,720.0,910.0,667.0,282.0,32.0,2611,2013-11-26
Total,731.0,913.0,678.0,285.0,32.0,2638,2013-11-27
Wind Gen(MU),1.0,8.0,8.0,0.0,0.0,17,2013-11-27
Hydro,107.0,64.0,86.0,33.0,10.0,301,2013-11-27
Total,730.0,903.0,680.0,281.0,33.0,2627,2013-11-28
Hydro,104.0,59.0,92.0,34.0,10.0,299,2013-11-28
Wind Gen(MU),3.0,19.0,9.0,0.0,0.0,31,2013-11-28
Wind Gen(MU),5.0,31.0,9.0,0.0,0.0,45,2013-11-29
Hydro,104.0,57.0,107.0,40.0,9.0,317,2013-11-29
Total,740.0,895.0,650.0,280.0,33.0,2597,2013-11-29
Total,737.0,899.0,677.0,276.0,33.0,2622,2013-11-30
Wind Gen(MU),3.0,19.0,12.0,0.0,0.0,33,2013-11-30
Hydro,106.0,68.0,103.0,32.0,10.0,319,2013-11-30
Wind Gen(MU),2.0,9.0,15.0,0.0,0.0,26,2013-12-01
Hydro,104.0,66.0,83.0,29.0,10.0,291,2013-12-01
Total,718.0,887.0,664.0,269.0,31.0,2569,2013-12-01
Wind Gen(MU),2.0,6.0,14.0,0.0,0.0,23,2013-12-02
Total,718.0,913.0,665.0,271.0,32.0,2598,2013-12-02
Hydro,104.0,72.0,87.0,31.0,11.0,305,2013-12-02
Wind Gen(MU),4.0,10.0,25.0,0.0,0.0,38,2013-12-03
Hydro,103.0,56.0,91.0,35.0,10.0,295,2013-12-03
Total,726.0,898.0,684.0,276.0,32.0,2616,2013-12-03
Wind Gen(MU),7.0,24.0,31.0,0.0,0.0,61,2013-12-04
Total,732.0,902.0,688.0,289.0,32.0,2644,2013-12-04
Hydro,104.0,61.0,81.0,32.0,10.0,288,2013-12-04
Total,718.0,905.0,689.0,279.0,31.0,2624,2013-12-05
Hydro,106.0,61.0,91.0,22.0,8.0,287,2013-12-05
Wind Gen(MU),3.0,20.0,24.0,0.0,0.0,47,2013-12-05
Total,753.0,896.0,701.0,281.0,32.0,2663,2013-12-06
Wind Gen(MU),1.0,11.0,12.0,0.0,0.0,24,2013-12-06
Hydro,106.0,64.0,108.0,22.0,8.0,308,2013-12-06
Total,758.0,888.0,693.0,278.0,31.0,2649,2013-12-07
Hydro,106.0,58.0,86.0,23.0,8.0,281,2013-12-07
Wind Gen(MU),2.0,9.0,12.0,0.0,0.0,23,2013-12-07
Total,741.0,867.0,684.0,270.0,33.0,2595,2013-12-08
Hydro,105.0,58.0,77.0,18.0,8.0,266,2013-12-08
Wind Gen(MU),2.0,10.0,9.0,0.0,0.0,20,2013-12-08
Hydro,106.0,54.0,87.0,17.0,7.0,271,2013-12-09
Wind Gen(MU),2.0,6.0,7.0,0.0,0.0,15,2013-12-09
Total,750.0,887.0,691.0,278.0,31.0,2637,2013-12-09
Total,765.0,894.0,714.0,278.0,31.0,2682,2013-12-10
Hydro,107.0,57.0,87.0,18.0,8.0,276,2013-12-10
Wind Gen(MU),3.0,6.0,7.0,0.0,0.0,16,2013-12-10
Total,763.0,890.0,720.0,283.0,32.0,2687,2013-12-11
Hydro,109.0,62.0,94.0,17.0,8.0,291,2013-12-11
Wind Gen(MU),1.0,7.0,10.0,0.0,0.0,19,2013-12-11
Hydro,108.0,60.0,81.0,16.0,8.0,273,2013-12-12
Total,768.0,893.0,708.0,281.0,32.0,2681,2013-12-12
Wind Gen(MU),3.0,16.0,22.0,0.0,0.0,40,2013-12-12
Wind Gen(MU),2.0,16.0,27.0,0.0,0.0,45,2013-12-13
Total,776.0,888.0,705.0,277.0,31.0,2677,2013-12-13
Hydro,107.0,57.0,81.0,17.0,8.0,269,2013-12-13
Total,775.0,886.0,698.0,275.0,32.0,2666,2013-12-14
Hydro,109.0,62.0,93.0,21.0,8.0,293,2013-12-14
Wind Gen(MU),8.0,7.0,16.0,0.0,0.0,30,2013-12-14
Total,747.0,869.0,676.0,271.0,32.0,2594,2013-12-15
Hydro,103.0,51.0,78.0,22.0,8.0,262,2013-12-15
Wind Gen(MU),8.0,3.0,8.0,0.0,0.0,19,2013-12-15
Hydro,106.0,51.0,96.0,14.0,8.0,275,2013-12-16
Total,767.0,885.0,692.0,274.0,31.0,2649,2013-12-16
Wind Gen(MU),2.0,7.0,18.0,0.0,0.0,26,2013-12-16
Hydro,105.0,66.0,88.0,16.0,8.0,284,2013-12-17
Wind Gen(MU),0.0,4.0,26.0,0.0,0.0,30,2013-12-17
Total,771.0,897.0,709.0,279.0,32.0,2687,2013-12-17
Total,760.0,896.0,711.0,283.0,31.0,2681,2013-12-18
Hydro,104.0,69.0,97.0,15.0,7.0,293,2013-12-18
Wind Gen(MU),5.0,6.0,18.0,0.0,0.0,29,2013-12-18
Hydro,106.0,70.0,98.0,18.0,8.0,300,2013-12-19
Wind Gen(MU),2.0,5.0,9.0,0.0,0.0,16,2013-12-19
Total,753.0,891.0,703.0,285.0,31.0,2663,2013-12-19
Hydro,106.0,59.0,95.0,19.0,8.0,287,2013-12-20
Total,758.0,892.0,721.0,272.0,31.0,2674,2013-12-20
Wind Gen(MU),3.0,8.0,10.0,0.0,0.0,21,2013-12-20
Hydro,106.0,55.0,90.0,18.0,8.0,276,2013-12-21
Wind Gen(MU),4.0,9.0,16.0,0.0,0.0,30,2013-12-21
Total,746.0,837.0,729.0,288.0,31.0,2631,2013-12-21
Total,709.0,867.0,709.0,278.0,32.0,2594,2013-12-22
Hydro,102.0,47.0,67.0,22.0,7.0,244,2013-12-22
Wind Gen(MU),5.0,14.0,24.0,0.0,0.0,44,2013-12-22
Wind Gen(MU),8.0,36.0,32.0,0.0,0.0,76,2013-12-23
Hydro,103.0,45.0,88.0,27.0,8.0,271,2013-12-23
Total,733.0,883.0,725.0,287.0,32.0,2660,2013-12-23
Wind Gen(MU),7.0,36.0,38.0,0.0,0.0,81,2013-12-24
Hydro,104.0,48.0,102.0,17.0,7.0,279,2013-12-24
Total,742.0,899.0,725.0,288.0,32.0,2687,2013-12-24
Wind Gen(MU),5.0,23.0,23.0,0.0,0.0,51,2013-12-25
Hydro,108.0,55.0,95.0,33.0,7.0,298,2013-12-25
Total,766.0,890.0,719.0,294.0,33.0,2702,2013-12-25
Wind Gen(MU),7.0,21.0,26.0,0.0,0.0,53,2013-12-26
Hydro,107.0,55.0,86.0,18.0,7.0,273,2013-12-26
Total,760.0,904.0,731.0,271.0,33.0,2698,2013-12-26
Total,776.0,901.0,733.0,279.0,32.0,2722,2013-12-27
Wind Gen(MU),4.0,21.0,17.0,0.0,0.0,43,2013-12-27
Hydro,106.0,48.0,95.0,17.0,7.0,273,2013-12-27
Total,778.0,888.0,735.0,289.0,33.0,2723,2013-12-28
Wind Gen(MU),3.0,18.0,14.0,0.0,0.0,35,2013-12-28
Hydro,110.0,48.0,93.0,18.0,7.0,276,2013-12-28
Wind Gen(MU),5.0,20.0,16.0,0.0,0.0,41,2013-12-29
Hydro,105.0,46.0,74.0,16.0,7.0,248,2013-12-29
Total,754.0,887.0,713.0,295.0,33.0,2682,2013-12-29
Wind Gen(MU),6.0,20.0,21.0,0.0,0.0,46,2013-12-30
